"","recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb"
"1","M1",1,"Spectrogram 1",1,1512.05,1512.282349352,0,8000,0.2323,-29.6,24.46,"1_Phaser1","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",59.4512987486866,66.0652568228556
"2","M1",2,"Spectrogram 1",1,1515.091664249,1517.119440415,0,8000,2.0278,-27.9,24.2,"1_Upsweep1","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",63.5819991042971,66.0652568228556
"3","M1",3,"Spectrogram 1",1,1519.083848576,1521.225320689,0,8000,2.1415,-28.11,23.38,"1_Downsweep1","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",63.1493107210291,66.0652568228556
"4","M1",4,"Spectrogram 1",1,1524.111043659,1526.181065159,0,8000,2.07,-27.35,24.57,"1_Upsweep2","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",65.1444133335241,66.0652568228556
"5","M1",5,"Spectrogram 1",1,1528.063874169,1530.176141009,0,8000,2.1123,-28.07,23.87,"1_Downsweep2","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",63.2426921728254,66.0652568228556
"6","M1",6,"Spectrogram 1",1,1533.069946579,1535.161090749,0,8000,2.0911,-27.83,25.05,"1_Upsweep3","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",64.1005530428315,66.0652568228556
"7","M1",7,"Spectrogram 1",1,1537.104376239,1539.216643079,0,8000,2.1123,-27.66,25.12,"1_Downsweep3","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",64.4081060995328,66.0652568228556
"8","M1",8,"Spectrogram 1",1,1541.107121899,1541.360593919,0,8000,0.2535,-30.44,23.69,"1_Phaser2","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",56.5695719409931,66.0652568228556
"9","M1",9,"Spectrogram 1",1,1550.436218779,1554.924901599,580,1080.8,4.4887,-26.31,24.66,"1_Hfunstart","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",71.8225407911055,49.6939728521456
"10","M1",10,"Spectrogram 1",1,1565.832931729,1567.368338949,143.4,470.1,1.5354,-47.47,11.92,"1_Pmor_start","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",24.9064439522935,50.2166730858589
"11","M1",11,"Spectrogram 1",1,1568.393701289,1569.424317089,159.3,709.1,1.0306,-35.91,14.46,"1_Pmor_P1","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",56.3238511694891,52.6025397095964
"12","M1",12,"Spectrogram 1",1,1554.969519279,1561.766279029,580,1526.5,6.7968,-28.6,23.64,"1_Hfuntrill","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",69.2118855891453,50.9518631014746
"13","M1",13,"Spectrogram 1",1,1570.668806709,1571.442179809,326.7,756.9,0.7734,-27.35,20.54,"1_Pmor_P2","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",69.4342001057095,51.5427235053499
"14","M1",14,"Spectrogram 1",1,1572.795582729,1573.777171669,294.8,669.3,0.9816,-38.35,12.73,"1_Pmor_P3","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",56.2581781348815,51.0574945126252
"15","M1",15,"Spectrogram 1",1,1575.323917869,1576.141908649,318.7,693.2,0.818,-35.32,15.03,"1_Pmor_P4","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",59.3942629922918,51.0422236972447
"16","M1",16,"Spectrogram 1",1,1577.839821669,1578.642939889,278.9,605.5,0.8031,-41.92,11.46,"1_Pmor_P5","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",47.5372141482885,50.7037108583413
"17","M1",17,"Spectrogram 1",1,1580.635862879,1581.498471339,294.8,701.1,0.8626,-34.49,14.9,"1_Pmor_P6","M1_20190823_060003",116.971518024802,4.74323401227593,"20190823","0600",60.026004381608,51.4412169759796
