Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	959.400000000	959.632349352	0.000	8000.000	0.2323	-26.11	24.64	Phaser
2	Spectrogram 1	1	962.441664249	964.469440415	0.000	8000.000	2.0278	-26.30	23.97	Upsweep
3	Spectrogram 1	1	966.433848576	968.575320689	0.000	8000.000	2.1415	-26.33	24.14	Downsweep
4	Spectrogram 1	1	971.461043659	973.531065159	0.000	8000.000	2.0700	-26.30	23.32	
5	Spectrogram 1	1	975.413874169	977.526141009	0.000	8000.000	2.1123	-25.91	24.05	
6	Spectrogram 1	1	980.419946579	982.511090749	0.000	8000.000	2.0911	-25.96	23.55	
7	Spectrogram 1	1	984.454376239	986.566643079	0.000	8000.000	2.1123	-25.98	25.00	
8	Spectrogram 1	1	988.457121899	988.710593919	0.000	8000.000	0.2535	-26.13	25.18	
9	Spectrogram 1	1	997.786218779	1002.274901599	580.000	1080.800	4.4887	-55.25	13.87	
10	Spectrogram 1	1	1013.182931729	1014.718338949	143.400	470.100	1.5354	-59.04	10.43	
11	Spectrogram 1	1	1015.743701289	1016.774317089	159.300	709.100	1.0306	-58.35	10.70	
12	Spectrogram 1	1	1002.319519279	1009.116279029	580.000	1526.500	6.7968	-51.27	15.23	
13	Spectrogram 1	1	1018.018806709	1018.792179809	326.700	756.900	0.7734	-59.46	11.09	
14	Spectrogram 1	1	1020.145582729	1021.127171669	294.800	669.300	0.9816	-60.07	10.94	
15	Spectrogram 1	1	1022.673917869	1023.491908649	318.700	693.200	0.8180	-59.83	10.57	
16	Spectrogram 1	1	1025.189821669	1025.992939889	278.900	605.500	0.8031	-59.92	10.87	
17	Spectrogram 1	1	1027.985862879	1028.848471339	294.800	701.100	0.8626	-58.58	10.46	
18	Spectrogram 1	1	1030.789773909	1031.905215879	255.000	669.300	1.1154	-59.77	10.69	
19	Spectrogram 1	1	1033.853521189	1035.177178999	159.300	390.400	1.3237	-60.73	10.32	
20	Spectrogram 1	1	1037.405782179	1038.744312549	127.500	398.400	1.3385	-59.31	10.30	
21	Spectrogram 1	1	1040.922002369	1042.468748569	127.500	398.400	1.5467	-58.95	10.42	
22	Spectrogram 1	1	1064.733321659	1071.926599259	589.600	1381.600	7.1933	-52.41	14.66	
23	Spectrogram 1	1	1072.094863059	1076.764183659	748.900	1593.500	4.6693	-49.34	17.78	
24	Spectrogram 1	1	1077.151441759	1080.159157259	358.500	900.300	3.0077	-57.36	12.26	
25	Spectrogram 1	1	1082.874084680	1083.715403680	661.334	980.034	0.8413	-57.56	13.38	
26	Spectrogram 1	1	1084.816343418	1085.594563518	605.247	1043.447	0.7782	-53.88	14.79	
27	Spectrogram 1	1	1086.724265080	1087.376287380	609.870	1024.170	0.6520	-55.56	12.75	
28	Spectrogram 1	1	1088.429585914	1089.228839014	786.238	1096.938	0.7993	-54.01	18.19	
29	Spectrogram 1	1	1090.451035257	1091.292354357	736.526	1007.426	0.8413	-56.55	14.68	
30	Spectrogram 1	1	1094.317389459	1095.200774359	23.900	255.000	0.8834	-52.36	15.52	
31	Spectrogram 1	1	1096.862379459	1097.640599559	47.800	247.000	0.7782	-56.22	13.57	
32	Spectrogram 1	1	1099.197039759	1100.185589559	39.800	239.000	0.9885	-54.46	13.40	
33	Spectrogram 1	1	1101.742029759	1102.730579659	31.900	247.000	0.9885	-51.83	15.02	
34	Spectrogram 1	1	1104.199673559	1105.104091559	31.900	207.200	0.9044	-52.42	14.60	
35	Spectrogram 1	1	1108.869000000	1109.101349352	0.000	8000.000	0.2323	-25.53	25.01	Phaser
36	Spectrogram 1	1	1111.910664249	1113.938440415	0.000	8000.000	2.0278	-25.59	25.61	Upsweep
37	Spectrogram 1	1	1115.902848576	1118.044320689	0.000	8000.000	2.1415	-25.79	24.49	Downsweep
38	Spectrogram 1	1	1120.930043659	1123.000065159	0.000	8000.000	2.0700	-25.57	24.68	
39	Spectrogram 1	1	1124.882874169	1126.995141009	0.000	8000.000	2.1123	-25.58	24.56	
40	Spectrogram 1	1	1129.888946579	1131.980090749	0.000	8000.000	2.0911	-25.31	24.56	
41	Spectrogram 1	1	1133.923376239	1136.035643079	0.000	8000.000	2.1123	-25.28	24.72	
42	Spectrogram 1	1	1137.926121899	1138.179593919	0.000	8000.000	0.2535	-25.61	25.03	
43	Spectrogram 1	1	1147.255218779	1151.743901599	580.000	1080.800	4.4887	-53.95	15.15	
44	Spectrogram 1	1	1162.651931729	1164.187338949	143.400	470.100	1.5354	-59.56	10.67	
45	Spectrogram 1	1	1165.212701289	1166.243317089	159.300	709.100	1.0306	-58.51	10.35	
46	Spectrogram 1	1	1151.788519279	1158.585279029	580.000	1526.500	6.7968	-59.06	11.08	
47	Spectrogram 1	1	1167.487806709	1168.261179809	326.700	756.900	0.7734	-59.60	11.39	
48	Spectrogram 1	1	1169.614582729	1170.596171669	294.800	669.300	0.9816	-60.63	11.62	
49	Spectrogram 1	1	1172.142917869	1172.960908649	318.700	693.200	0.8180	-60.92	10.82	
50	Spectrogram 1	1	1174.658821669	1175.461939889	278.900	605.500	0.8031	-61.08	10.16	
51	Spectrogram 1	1	1177.454862879	1178.317471339	294.800	701.100	0.8626	-59.76	11.74	
52	Spectrogram 1	1	1180.258773909	1181.374215879	255.000	669.300	1.1154	-60.06	10.54	
53	Spectrogram 1	1	1183.322521189	1184.646178999	159.300	390.400	1.3237	-60.80	10.25	
54	Spectrogram 1	1	1186.874782179	1188.213312549	127.500	398.400	1.3385	-59.73	10.14	
55	Spectrogram 1	1	1190.391002369	1191.937748569	127.500	398.400	1.5467	-59.42	10.83	
56	Spectrogram 1	1	1214.202321659	1221.395599259	589.600	1381.600	7.1933	-52.41	15.34	
57	Spectrogram 1	1	1221.563863059	1226.233183659	748.900	1593.500	4.6693	-50.43	16.68	
58	Spectrogram 1	1	1226.620441759	1229.628157259	358.500	900.300	3.0077	-60.30	11.75	
59	Spectrogram 1	1	1232.343084680	1233.184403680	661.334	980.034	0.8413	-62.44	12.70	
60	Spectrogram 1	1	1234.285343418	1235.063563518	605.247	1043.447	0.7782	-55.24	13.50	
61	Spectrogram 1	1	1236.193265080	1236.845287380	609.870	1024.170	0.6520	-58.20	11.50	
62	Spectrogram 1	1	1237.898585914	1238.697839014	786.238	1096.938	0.7993	-64.64	11.06	
63	Spectrogram 1	1	1239.920035257	1240.761354357	736.526	1007.426	0.8413	-63.11	12.28	
64	Spectrogram 1	1	1243.786389459	1244.669774359	23.900	255.000	0.8834	-52.23	16.11	
65	Spectrogram 1	1	1246.331379459	1247.109599559	47.800	247.000	0.7782	-54.12	13.84	
