"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","PowerDb","NoisevalueDb"
1,"Spectrogram 1",1,1672.7,1672.932349352,0,8000,14.93,"1_Phaser1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",24.5713201513865,64.7823298387778
2,"Spectrogram 1",1,1675.741664249,1677.769440415,0,8000,15.75,"1_Upsweep1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",4.08678589048163,64.7823298387778
3,"Spectrogram 1",1,1679.733848576,1681.875320689,0,8000,14.83,"1_Downsweep1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",18.503895427735,64.7823298387778
4,"Spectrogram 1",1,1684.761043659,1686.831065159,0,8000,15.34,"1_Upsweep2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",16.898052396103,64.7823298387778
5,"Spectrogram 1",1,1688.713874169,1690.826141009,0,8000,14.8,"1_Downsweep2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",13.6735641950505,64.7823298387778
6,"Spectrogram 1",1,1693.719946579,1695.811090749,0,8000,14.91,"1_Upsweep3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",13.935469831784,64.7823298387778
7,"Spectrogram 1",1,1697.754376239,1699.866643079,0,8000,15.02,"1_Downsweep3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",9.37186449290137,64.7823298387778
8,"Spectrogram 1",1,1701.757121899,1702.010593919,0,8000,15.27,"1_Phaser2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",12.5385422050021,64.7823298387778
9,"Spectrogram 1",1,1711.086218779,1715.574901599,580,1080.8,12.6,"1_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",36.3062765794624,31.4468430123518
10,"Spectrogram 1",1,1726.482931729,1728.018338949,143.4,470.1,10.9,"1_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844",22.1141957826194,34.9825727894427
