"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","PowerDb","NoisevalueDb"
1,"Spectrogram 1",1,726.73,726.962349352,0,8000,18.31,"1_Phaser1","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",32.5286149948516,64.091768562287
2,"Spectrogram 1",1,729.771664249,731.799440415,0,8000,18.05,"1_Upsweep1","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",40.3957672074593,64.091768562287
3,"Spectrogram 1",1,733.763848576,735.905320689,0,8000,16.36,"1_Downsweep1","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",39.8270057839529,64.091768562287
4,"Spectrogram 1",1,738.791043659,740.861065159,0,8000,17.11,"1_Upsweep2","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",40.9171571150758,64.091768562287
5,"Spectrogram 1",1,742.743874169,744.856141009,0,8000,16.37,"1_Downsweep2","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",39.8774030208547,64.091768562287
6,"Spectrogram 1",1,747.749946579,749.841090749,0,8000,17.23,"1_Upsweep3","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",40.7891797226479,64.091768562287
7,"Spectrogram 1",1,751.784376239,753.896643079,0,8000,16.08,"1_Downsweep3","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",39.2303211819201,64.091768562287
8,"Spectrogram 1",1,755.787121899,756.040593919,0,8000,19.27,"1_Phaser2","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",25.1257899440747,64.091768562287
9,"Spectrogram 1",1,765.116218779,769.604901599,580,1080.8,22.85,"1_Hfunstart","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",53.6396290641368,31.9846809153666
10,"Spectrogram 1",1,780.512931729,782.048338949,143.4,470.1,12.73,"1_Pmor_start","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",36.9573134637553,35.3658440973371
11,"Spectrogram 1",1,783.073701289,784.104317089,159.3,709.1,14.17,"1_Pmor_P1","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",46.6367940742263,36.5287079258555
12,"Spectrogram 1",1,769.649519279,776.446279029,580,1526.5,18.59,"1_Hfuntrill","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",47.9036695289129,34.2927855325005
13,"Spectrogram 1",1,785.348806709,786.122179809,326.7,756.9,20.94,"1_Pmor_P2","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",51.8780379941655,33.2296231301045
14,"Spectrogram 1",1,787.475582729,788.457171669,294.8,669.3,19.01,"1_Pmor_P3","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",49.3404306065377,33.0782632647051
15,"Spectrogram 1",1,790.003917869,790.821908649,318.7,693.2,19.81,"1_Pmor_P4","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",47.9562078768431,32.8001118822138
16,"Spectrogram 1",1,792.519821669,793.322939889,278.9,605.5,18.32,"1_Pmor_P5","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",45.8253909275862,32.9078952735269
17,"Spectrogram 1",1,795.315862879,796.178471339,294.8,701.1,21.11,"1_Pmor_P6","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",50.3739654631085,33.3558115785822
18,"Spectrogram 1",1,798.119773909,799.235215879,255,669.3,16.4,"1_Pmor_P7","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",46.6904727012673,34.0786051062778
19,"Spectrogram 1",1,801.183521189,802.507178999,159.3,390.4,13.97,"1_Pmor_P8","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",40.4100049303219,34.1784616516086
20,"Spectrogram 1",1,804.735782179,806.074312549,127.5,398.4,13.2,"1_Pmor_P9","34","34_S00974_20190806_080003-1",100,"6 (S4A07375)","20190806","0800",38.1056953270585,35.2493435299819
