"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb"
"M1",1,"Spectrogram 1",1,2509.75,2509.982349352,0,8000,0.2323,-30.2,20.44,"1_Phaser1","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",62.1815166843541,62.8520657898214
"M1",2,"Spectrogram 1",1,2512.791664249,2514.819440415,0,8000,2.0278,-28.23,21.7,"1_Upsweep1","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",65.7288472447891,62.8520657898214
"M1",3,"Spectrogram 1",1,2516.783848576,2518.925320689,0,8000,2.1415,-28.45,21.67,"1_Downsweep1","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",65.3906731595671,62.8520657898214
"M1",4,"Spectrogram 1",1,2521.811043659,2523.881065159,0,8000,2.07,-28.35,21.61,"1_Upsweep2","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",65.3560616115736,62.8520657898214
"M1",5,"Spectrogram 1",1,2525.763874169,2527.876141009,0,8000,2.1123,-28.51,21.92,"1_Downsweep2","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",65.4383639322666,62.8520657898214
"M1",6,"Spectrogram 1",1,2530.769946579,2532.861090749,0,8000,2.0911,-28.39,22.04,"1_Upsweep3","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",65.3097716530958,62.8520657898214
"M1",7,"Spectrogram 1",1,2534.804376239,2536.916643079,0,8000,2.1123,-28.42,21.03,"1_Downsweep3","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",65.3329225530718,62.8520657898214
"M1",8,"Spectrogram 1",1,2538.807121899,2539.060593919,0,8000,0.2535,-30.49,21.11,"1_Phaser2","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",61.4636647392959,62.8520657898214
"M1",9,"Spectrogram 1",1,2548.136218779,2552.624901599,580,1080.8,4.4887,-26.51,24.68,"1_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",71.667430554082,48.9414816762285
"M1",12,"Spectrogram 1",1,2552.669519279,2559.466279029,580,1526.5,6.7968,-28.8,23.53,"1_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",69.0837745388322,50.4734860898952
"M1",13,"Spectrogram 1",1,2568.368806709,2569.142179809,326.7,756.9,0.7734,-28.12,18.74,"1_Pmor_P2","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",68.6095859354039,51.7277510544865
"M1",14,"Spectrogram 1",1,2570.495582729,2571.477171669,294.8,669.3,0.9816,-38.62,12.54,"1_Pmor_P3","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",55.3681259049223,51.6454312605558
