Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	1627.205000000	1627.437349352	0.000	8000.000	0.2323	-33.59	16.31	1627.2050	S00974_20190805_194417.wav	S00974_20190805_194417.wav	Phaser
2	Spectrogram 1	1	1630.246664249	1632.274440415	0.000	8000.000	2.0278	-33.41	15.82	1630.2467	S00974_20190805_194417.wav	S00974_20190805_194417.wav	Upsweep
3	Spectrogram 1	1	1634.238848576	1636.380320689	0.000	8000.000	2.1415	-33.43	15.60	1634.2388	S00974_20190805_194417.wav	S00974_20190805_194417.wav	Downsweep
4	Spectrogram 1	1	1639.266043659	1641.336065159	0.000	8000.000	2.0700	-33.43	16.21	1639.2660	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
5	Spectrogram 1	1	1643.218874169	1645.331141009	0.000	8000.000	2.1123	-33.48	14.80	1643.2189	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
6	Spectrogram 1	1	1648.224946579	1650.316090749	0.000	8000.000	2.0911	-33.44	16.60	1648.2249	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
7	Spectrogram 1	1	1652.259376239	1654.371643079	0.000	8000.000	2.1123	-33.47	15.84	1652.2594	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
8	Spectrogram 1	1	1656.262121899	1656.515593919	0.000	8000.000	0.2535	-33.50	17.07	1656.2621	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
9	Spectrogram 1	1	1665.591218779	1670.079901599	580.000	1080.800	4.4887	-46.57	22.88	1665.5912	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
10	Spectrogram 1	1	1680.987931729	1682.523338949	143.400	470.100	1.5354	-57.58	12.02	1680.9879	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
11	Spectrogram 1	1	1683.548701289	1684.579317089	159.300	709.100	1.0306	-48.61	14.24	1683.5487	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
12	Spectrogram 1	1	1670.124519279	1676.921279029	580.000	1526.500	6.7968	-50.00	18.30	1670.1245	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
13	Spectrogram 1	1	1685.823806709	1686.597179809	326.700	756.900	0.7734	-46.35	22.56	1685.8238	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
14	Spectrogram 1	1	1687.950582729	1688.932171669	294.800	669.300	0.9816	-47.48	20.36	1687.9506	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
15	Spectrogram 1	1	1690.478917869	1691.296908649	318.700	693.200	0.8180	-49.83	20.45	1690.4789	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
16	Spectrogram 1	1	1692.994821669	1693.797939889	278.900	605.500	0.8031	-49.92	16.78	1692.9948	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
17	Spectrogram 1	1	1695.790862879	1696.653471339	294.800	701.100	0.8626	-46.68	21.57	1695.7909	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
18	Spectrogram 1	1	1698.594773909	1699.710215879	255.000	669.300	1.1154	-50.61	17.07	1698.5948	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
19	Spectrogram 1	1	1701.658521189	1702.982178999	159.300	390.400	1.3237	-56.02	13.16	1701.6585	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
20	Spectrogram 1	1	1705.210782179	1706.549312549	127.500	398.400	1.3385	-56.80	13.10	1705.2108	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
21	Spectrogram 1	1	1708.727002369	1710.273748569	127.500	398.400	1.5467	-57.69	12.19	1708.7270	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
22	Spectrogram 1	1	1732.538321659	1739.731599259	589.600	1381.600	7.1933	-54.19	12.54	1732.5383	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
23	Spectrogram 1	1	1739.899863059	1744.569183659	748.900	1593.500	4.6693	-48.94	19.36	1739.8999	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
24	Spectrogram 1	1	1744.956441759	1747.964157259	358.500	900.300	3.0077	-55.96	11.97	1744.9564	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
25	Spectrogram 1	1	1750.679084680	1751.520403680	661.334	980.034	0.8413	-51.42	17.61	1750.6791	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
26	Spectrogram 1	1	1752.621343418	1753.399563518	605.247	1043.447	0.7782	-46.95	22.81	1752.6213	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
27	Spectrogram 1	1	1754.529265080	1755.181287380	609.870	1024.170	0.6520	-46.64	23.76	1754.5293	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
28	Spectrogram 1	1	1756.234585914	1757.033839014	786.238	1096.938	0.7993	-55.73	18.08	1756.2346	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
29	Spectrogram 1	1	1758.256035257	1759.097354357	736.526	1007.426	0.8413	-49.12	25.21	1758.2560	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
30	Spectrogram 1	1	1762.122389459	1763.005774359	23.900	255.000	0.8834	-50.85	13.30	1762.1224	S00974_20190805_194417.wav	S00974_20190805_194417.wav	
