Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	687.750000000	687.982349352	0.000	8000.000	0.2323	-34.74	19.17	Phaser
2	Spectrogram 1	1	690.791664249	692.819440415	0.000	8000.000	2.0278	-34.44	19.11	Upsweep
3	Spectrogram 1	1	694.783848576	696.925320689	0.000	8000.000	2.1415	-34.52	17.11	Downsweep
4	Spectrogram 1	1	699.811043659	701.881065159	0.000	8000.000	2.0700	-34.50	19.14	
5	Spectrogram 1	1	703.763874169	705.876141009	0.000	8000.000	2.1123	-34.53	17.00	
6	Spectrogram 1	1	708.769946579	710.861090749	0.000	8000.000	2.0911	-34.48	18.90	
7	Spectrogram 1	1	712.804376239	714.916643079	0.000	8000.000	2.1123	-34.51	17.25	
8	Spectrogram 1	1	716.807121899	717.060593919	0.000	8000.000	0.2535	-34.86	19.75	
9	Spectrogram 1	1	726.136218779	730.624901599	580.000	1080.800	4.4887	-46.40	23.16	
10	Spectrogram 1	1	741.532931729	743.068338949	143.400	470.100	1.5354	-57.40	12.86	
11	Spectrogram 1	1	744.093701289	745.124317089	159.300	709.100	1.0306	-49.05	14.64	
12	Spectrogram 1	1	730.669519279	737.466279029	580.000	1526.500	6.7968	-49.37	19.83	
13	Spectrogram 1	1	746.368806709	747.142179809	326.700	756.900	0.7734	-46.10	21.22	
14	Spectrogram 1	1	748.495582729	749.477171669	294.800	669.300	0.9816	-48.07	20.18	
15	Spectrogram 1	1	751.023917869	751.841908649	318.700	693.200	0.8180	-50.25	19.84	
16	Spectrogram 1	1	753.539821669	754.342939889	278.900	605.500	0.8031	-50.03	18.24	
17	Spectrogram 1	1	756.335862879	757.198471339	294.800	701.100	0.8626	-48.49	20.91	
18	Spectrogram 1	1	759.139773909	760.255215879	255.000	669.300	1.1154	-49.67	17.27	
19	Spectrogram 1	1	762.203521189	763.527178999	159.300	390.400	1.3237	-55.51	13.07	
20	Spectrogram 1	1	765.755782179	767.094312549	127.500	398.400	1.3385	-56.98	13.89	
