Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	Sound Type
1	Spectrogram 1	1	687.300000000	687.532349352	0.000	8000.000	0.2323	-34.78	19.71	Phaser
2	Spectrogram 1	1	690.341664249	692.369440415	0.000	8000.000	2.0278	-34.57	18.87	Upsweep
3	Spectrogram 1	1	694.333848576	696.475320689	0.000	8000.000	2.1415	-34.63	17.89	Downsweep
4	Spectrogram 1	1	699.361043659	701.431065159	0.000	8000.000	2.0700	-34.59	19.20	
5	Spectrogram 1	1	703.313874169	705.426141009	0.000	8000.000	2.1123	-34.62	17.13	
6	Spectrogram 1	1	708.319946579	710.411090749	0.000	8000.000	2.0911	-34.56	19.00	
7	Spectrogram 1	1	712.354376239	714.466643079	0.000	8000.000	2.1123	-34.61	17.67	
8	Spectrogram 1	1	716.357121899	716.610593919	0.000	8000.000	0.2535	-35.04	19.35	
9	Spectrogram 1	1	725.686218779	730.174901599	580.000	1080.800	4.4887	-46.45	23.14	
10	Spectrogram 1	1	741.082931729	742.618338949	143.400	470.100	1.5354	-57.59	12.49	
11	Spectrogram 1	1	743.643701289	744.674317089	159.300	709.100	1.0306	-49.10	15.21	
12	Spectrogram 1	1	730.219519279	737.016279029	580.000	1526.500	6.7968	-49.38	19.55	
13	Spectrogram 1	1	745.918806709	746.692179809	326.700	756.900	0.7734	-46.39	20.83	
14	Spectrogram 1	1	748.045582729	749.027171669	294.800	669.300	0.9816	-48.03	19.97	
15	Spectrogram 1	1	750.573917869	751.391908649	318.700	693.200	0.8180	-50.47	19.86	
16	Spectrogram 1	1	753.089821669	753.892939889	278.900	605.500	0.8031	-50.04	17.55	
17	Spectrogram 1	1	755.885862879	756.748471339	294.800	701.100	0.8626	-48.58	21.14	
18	Spectrogram 1	1	758.689773909	759.805215879	255.000	669.300	1.1154	-49.51	17.63	
19	Spectrogram 1	1	761.753521189	763.077178999	159.300	390.400	1.3237	-55.55	13.76	
20	Spectrogram 1	1	765.305782179	766.644312549	127.500	398.400	1.3385	-56.90	12.68	
21	Spectrogram 1	1	768.822002369	770.368748569	127.500	398.400	1.5467	-57.89	12.56	
22	Spectrogram 1	1	792.633321659	799.826599259	589.600	1381.600	7.1933	-54.28	12.72	
23	Spectrogram 1	1	799.994863059	804.664183659	748.900	1593.500	4.6693	-48.33	19.98	
24	Spectrogram 1	1	805.051441759	808.059157259	358.500	900.300	3.0077	-54.38	11.64	
25	Spectrogram 1	1	810.774084680	811.615403680	661.334	980.034	0.8413	-49.70	18.17	
26	Spectrogram 1	1	812.716343418	813.494563518	605.247	1043.447	0.7782	-46.01	23.11	
27	Spectrogram 1	1	814.624265080	815.276287380	609.870	1024.170	0.6520	-46.07	24.65	
28	Spectrogram 1	1	816.329585914	817.128839014	786.238	1096.938	0.7993	-55.13	19.58	
29	Spectrogram 1	1	818.351035257	819.192354357	736.526	1007.426	0.8413	-48.41	27.08	
30	Spectrogram 1	1	822.217389459	823.100774359	23.900	255.000	0.8834	-51.06	13.65	
31	Spectrogram 1	1	824.762379459	825.540599559	47.800	247.000	0.7782	-51.48	14.51	
32	Spectrogram 1	1	827.097039759	828.085589559	39.800	239.000	0.9885	-50.17	14.66	
33	Spectrogram 1	1	829.642029759	830.630579659	31.900	247.000	0.9885	-50.29	14.92	
34	Spectrogram 1	1	832.099673559	833.004091559	31.900	207.200	0.9044	-52.47	13.90	
35	Spectrogram 1	1	836.769000000	837.001349352	0.000	8000.000	0.2323	-34.93	19.88	Phaser
36	Spectrogram 1	1	839.810664249	841.838440415	0.000	8000.000	2.0278	-34.53	18.34	Upsweep
37	Spectrogram 1	1	843.802848576	845.944320689	0.000	8000.000	2.1415	-34.56	18.18	Downsweep
38	Spectrogram 1	1	848.830043659	850.900065159	0.000	8000.000	2.0700	-34.53	18.89	
39	Spectrogram 1	1	852.782874169	854.895141009	0.000	8000.000	2.1123	-34.60	18.05	
40	Spectrogram 1	1	857.788946579	859.880090749	0.000	8000.000	2.0911	-34.56	18.81	
41	Spectrogram 1	1	861.823376239	863.935643079	0.000	8000.000	2.1123	-34.62	17.36	
42	Spectrogram 1	1	865.826121899	866.079593919	0.000	8000.000	0.2535	-35.07	19.78	
43	Spectrogram 1	1	875.155218779	879.643901599	580.000	1080.800	4.4887	-46.54	22.90	
44	Spectrogram 1	1	890.551931729	892.087338949	143.400	470.100	1.5354	-57.52	13.32	
45	Spectrogram 1	1	893.112701289	894.143317089	159.300	709.100	1.0306	-49.09	14.87	
46	Spectrogram 1	1	879.688519279	886.485279029	580.000	1526.500	6.7968	-49.39	19.04	
47	Spectrogram 1	1	895.387806709	896.161179809	326.700	756.900	0.7734	-46.41	20.90	
48	Spectrogram 1	1	897.514582729	898.496171669	294.800	669.300	0.9816	-48.04	19.53	
49	Spectrogram 1	1	900.042917869	900.860908649	318.700	693.200	0.8180	-50.35	19.29	
50	Spectrogram 1	1	902.558821669	903.361939889	278.900	605.500	0.8031	-49.98	18.15	
51	Spectrogram 1	1	905.354862879	906.217471339	294.800	701.100	0.8626	-48.59	20.81	
52	Spectrogram 1	1	908.158773909	909.274215879	255.000	669.300	1.1154	-49.39	17.93	
53	Spectrogram 1	1	911.222521189	912.546178999	159.300	390.400	1.3237	-55.71	12.80	
54	Spectrogram 1	1	914.774782179	916.113312549	127.500	398.400	1.3385	-56.97	13.60	
55	Spectrogram 1	1	918.291002369	919.837748569	127.500	398.400	1.5467	-58.18	12.97	
56	Spectrogram 1	1	942.102321659	949.295599259	589.600	1381.600	7.1933	-54.52	12.46	
57	Spectrogram 1	1	949.463863059	954.133183659	748.900	1593.500	4.6693	-48.58	19.91	
58	Spectrogram 1	1	954.520441759	957.528157259	358.500	900.300	3.0077	-54.71	11.82	
59	Spectrogram 1	1	960.243084680	961.084403680	661.334	980.034	0.8413	-49.71	18.57	
60	Spectrogram 1	1	962.185343418	962.963563518	605.247	1043.447	0.7782	-46.05	22.81	
61	Spectrogram 1	1	964.093265080	964.745287380	609.870	1024.170	0.6520	-46.20	24.11	
62	Spectrogram 1	1	965.798585914	966.597839014	786.238	1096.938	0.7993	-55.45	20.51	
63	Spectrogram 1	1	967.820035257	968.661354357	736.526	1007.426	0.8413	-48.56	25.86	
64	Spectrogram 1	1	971.686389459	972.569774359	23.900	255.000	0.8834	-51.12	14.32	
65	Spectrogram 1	1	974.231379459	975.009599559	47.800	247.000	0.7782	-51.94	13.63	
66	Spectrogram 1	1	976.566039759	977.554589559	39.800	239.000	0.9885	-50.26	14.24	
67	Spectrogram 1	1	979.111029759	980.099579659	31.900	247.000	0.9885	-50.03	13.81	
68	Spectrogram 1	1	981.568673559	982.473091559	31.900	207.200	0.9044	-52.87	14.02	
69	Spectrogram 1	1	986.200000000	986.432349352	0.000	8000.000	0.2323	-34.70	19.18	Phaser
70	Spectrogram 1	1	989.241664249	991.269440415	0.000	8000.000	2.0278	-34.51	18.43	Upsweep
71	Spectrogram 1	1	993.233848576	995.375320689	0.000	8000.000	2.1415	-34.57	17.35	Downsweep
72	Spectrogram 1	1	998.261043659	1000.331065159	0.000	8000.000	2.0700	-34.53	18.61	
73	Spectrogram 1	1	1002.213874169	1004.326141009	0.000	8000.000	2.1123	-34.61	17.26	
74	Spectrogram 1	1	1007.219946579	1009.311090749	0.000	8000.000	2.0911	-34.53	18.04	
75	Spectrogram 1	1	1011.254376239	1013.366643079	0.000	8000.000	2.1123	-34.60	17.34	
76	Spectrogram 1	1	1015.257121899	1015.510593919	0.000	8000.000	0.2535	-34.98	18.11	
77	Spectrogram 1	1	1024.586218779	1029.074901599	580.000	1080.800	4.4887	-46.60	22.67	
78	Spectrogram 1	1	1039.982931729	1041.518338949	143.400	470.100	1.5354	-57.34	12.69	
79	Spectrogram 1	1	1042.543701289	1043.574317089	159.300	709.100	1.0306	-48.98	14.92	
80	Spectrogram 1	1	1029.119519279	1035.916279029	580.000	1526.500	6.7968	-49.42	19.38	
81	Spectrogram 1	1	1044.818806709	1045.592179809	326.700	756.900	0.7734	-46.43	20.19	
82	Spectrogram 1	1	1046.945582729	1047.927171669	294.800	669.300	0.9816	-47.97	20.16	
83	Spectrogram 1	1	1049.473917869	1050.291908649	318.700	693.200	0.8180	-50.28	18.90	
84	Spectrogram 1	1	1051.989821669	1052.792939889	278.900	605.500	0.8031	-49.96	18.50	
85	Spectrogram 1	1	1054.785862879	1055.648471339	294.800	701.100	0.8626	-48.62	21.04	
86	Spectrogram 1	1	1057.589773909	1058.705215879	255.000	669.300	1.1154	-49.36	17.48	
87	Spectrogram 1	1	1060.653521189	1061.977178999	159.300	390.400	1.3237	-55.26	13.52	
88	Spectrogram 1	1	1064.205782179	1065.544312549	127.500	398.400	1.3385	-57.03	12.63	
89	Spectrogram 1	1	1067.722002369	1069.268748569	127.500	398.400	1.5467	-57.90	12.86	
90	Spectrogram 1	1	1091.533321659	1098.726599259	589.600	1381.600	7.1933	-54.44	12.58	
91	Spectrogram 1	1	1098.894863059	1103.564183659	748.900	1593.500	4.6693	-48.51	19.39	
92	Spectrogram 1	1	1103.951441759	1106.959157259	358.500	900.300	3.0077	-54.47	11.83	
93	Spectrogram 1	1	1109.674084680	1110.515403680	661.334	980.034	0.8413	-49.79	17.11	
94	Spectrogram 1	1	1111.616343418	1112.394563518	605.247	1043.447	0.7782	-46.10	22.71	
95	Spectrogram 1	1	1113.524265080	1114.176287380	609.870	1024.170	0.6520	-46.13	24.10	
96	Spectrogram 1	1	1115.229585914	1116.028839014	786.238	1096.938	0.7993	-55.54	17.57	
97	Spectrogram 1	1	1117.251035257	1118.092354357	736.526	1007.426	0.8413	-48.52	26.27	
98	Spectrogram 1	1	1121.117389459	1122.000774359	23.900	255.000	0.8834	-50.89	13.95	
99	Spectrogram 1	1	1123.662379459	1124.440599559	47.800	247.000	0.7782	-51.62	13.28	
