Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	3305.020000000	3305.252349352	0.000	8000.000	0.2323	-33.71	15.66	3305.0200	S00974_20190806_090003.wav	S00974_20190806_090003.wav	Phaser
2	Spectrogram 1	1	3308.061664249	3310.089440415	0.000	8000.000	2.0278	-33.50	16.19	3308.0617	S00974_20190806_090003.wav	S00974_20190806_090003.wav	Upsweep
3	Spectrogram 1	1	3312.053848576	3314.195320689	0.000	8000.000	2.1415	-33.49	15.69	3312.0539	S00974_20190806_090003.wav	S00974_20190806_090003.wav	Downsweep
4	Spectrogram 1	1	3317.081043659	3319.151065159	0.000	8000.000	2.0700	-33.39	16.43	3317.0811	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
5	Spectrogram 1	1	3321.033874169	3323.146141009	0.000	8000.000	2.1123	-33.46	15.96	3321.0339	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
6	Spectrogram 1	1	3326.039946579	3328.131090749	0.000	8000.000	2.0911	-33.46	16.76	3326.0399	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
7	Spectrogram 1	1	3330.074376239	3332.186643079	0.000	8000.000	2.1123	-33.47	16.15	3330.0744	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
8	Spectrogram 1	1	3334.077121899	3334.330593919	0.000	8000.000	0.2535	-33.52	15.69	3334.0771	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
9	Spectrogram 1	1	3343.406218779	3347.894901599	580.000	1080.800	4.4887	-62.16	12.33	3343.4062	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
10	Spectrogram 1	1	3358.802931729	3360.338338949	143.400	470.100	1.5354	-62.65	11.10	3358.8029	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
11	Spectrogram 1	1	3361.363701289	3362.394317089	159.300	709.100	1.0306	-61.37	11.38	3361.3637	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
12	Spectrogram 1	1	3347.939519279	3354.736279029	580.000	1526.500	6.7968	-62.18	11.07	3347.9395	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
13	Spectrogram 1	1	3363.638806709	3364.412179809	326.700	756.900	0.7734	-63.54	10.91	3363.6388	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
14	Spectrogram 1	1	3365.765582729	3366.747171669	294.800	669.300	0.9816	-63.27	10.71	3365.7656	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
15	Spectrogram 1	1	3368.293917869	3369.111908649	318.700	693.200	0.8180	-64.60	10.16	3368.2939	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
16	Spectrogram 1	1	3370.809821669	3371.612939889	278.900	605.500	0.8031	-64.68	10.87	3370.8098	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
17	Spectrogram 1	1	3373.605862879	3374.468471339	294.800	701.100	0.8626	-62.40	11.47	3373.6059	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
18	Spectrogram 1	1	3376.409773909	3377.525215879	255.000	669.300	1.1154	-63.06	10.79	3376.4097	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
19	Spectrogram 1	1	3379.473521189	3380.797178999	159.300	390.400	1.3237	-63.63	10.52	3379.4735	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
20	Spectrogram 1	1	3383.025782179	3384.364312549	127.500	398.400	1.3385	-62.76	11.14	3383.0258	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
21	Spectrogram 1	1	3386.542002369	3388.088748569	127.500	398.400	1.5467	-62.27	10.88	3386.5420	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
22	Spectrogram 1	1	3410.353321659	3417.546599259	589.600	1381.600	7.1933	-62.07	11.08	3410.3533	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
23	Spectrogram 1	1	3417.714863059	3422.384183659	748.900	1593.500	4.6693	-61.26	11.18	3417.7149	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
24	Spectrogram 1	1	3422.771441759	3425.779157259	358.500	900.300	3.0077	-63.19	10.96	3422.7714	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
25	Spectrogram 1	1	3428.494084680	3429.335403680	661.334	980.034	0.8413	-61.83	13.30	3428.4941	S00974_20190806_090003.wav	S00974_20190806_090003.wav	
