Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	1198.870000000	1199.102349352	0.000	8000.000	0.2323	-32.80	17.33	1198.8700	S00974_20190805_124414.wav	S00974_20190805_124414.wav	Phaser
2	Spectrogram 1	1	1201.911664249	1203.939440415	0.000	8000.000	2.0278	-32.65	17.32	1201.9117	S00974_20190805_124414.wav	S00974_20190805_124414.wav	Upsweep
3	Spectrogram 1	1	1205.903848576	1208.045320689	0.000	8000.000	2.1415	-32.67	16.37	1205.9038	S00974_20190805_124414.wav	S00974_20190805_124414.wav	Downsweep
4	Spectrogram 1	1	1210.931043659	1213.001065159	0.000	8000.000	2.0700	-32.66	17.31	1210.9310	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
5	Spectrogram 1	1	1214.883874169	1216.996141009	0.000	8000.000	2.1123	-32.65	16.36	1214.8839	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
6	Spectrogram 1	1	1219.889946579	1221.981090749	0.000	8000.000	2.0911	-32.66	16.85	1219.8899	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
7	Spectrogram 1	1	1223.924376239	1226.036643079	0.000	8000.000	2.1123	-32.65	16.13	1223.9244	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
8	Spectrogram 1	1	1227.927121899	1228.180593919	0.000	8000.000	0.2535	-32.77	17.42	1227.9271	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
9	Spectrogram 1	1	1237.256218779	1241.744901599	580.000	1080.800	4.4887	-49.69	18.45	1237.2562	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
10	Spectrogram 1	1	1252.652931729	1254.188338949	143.400	470.100	1.5354	-60.13	12.17	1252.6529	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
11	Spectrogram 1	1	1255.213701289	1256.244317089	159.300	709.100	1.0306	-53.96	13.36	1255.2137	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
12	Spectrogram 1	1	1241.789519279	1248.586279029	580.000	1526.500	6.7968	-54.87	15.37	1241.7895	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
13	Spectrogram 1	1	1257.488806709	1258.262179809	326.700	756.900	0.7734	-51.24	17.71	1257.4888	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
14	Spectrogram 1	1	1259.615582729	1260.597171669	294.800	669.300	0.9816	-51.80	15.70	1259.6156	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
15	Spectrogram 1	1	1262.143917869	1262.961908649	318.700	693.200	0.8180	-55.05	16.81	1262.1439	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
16	Spectrogram 1	1	1264.659821669	1265.462939889	278.900	605.500	0.8031	-56.04	14.61	1264.6598	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
17	Spectrogram 1	1	1267.455862879	1268.318471339	294.800	701.100	0.8626	-51.00	16.66	1267.4559	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
18	Spectrogram 1	1	1270.259773909	1271.375215879	255.000	669.300	1.1154	-55.64	14.07	1270.2598	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
19	Spectrogram 1	1	1273.323521189	1274.647178999	159.300	390.400	1.3237	-58.24	12.98	1273.3235	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
20	Spectrogram 1	1	1276.875782179	1278.214312549	127.500	398.400	1.3385	-59.87	11.33	1276.8758	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
21	Spectrogram 1	1	1280.392002369	1281.938748569	127.500	398.400	1.5467	-61.01	12.06	1280.3920	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
22	Spectrogram 1	1	1304.203321659	1311.396599259	589.600	1381.600	7.1933	-58.05	11.66	1304.2033	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
23	Spectrogram 1	1	1311.564863059	1316.234183659	748.900	1593.500	4.6693	-54.44	15.55	1311.5649	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
24	Spectrogram 1	1	1316.621441759	1319.629157259	358.500	900.300	3.0077	-58.30	10.96	1316.6214	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
25	Spectrogram 1	1	1322.344084680	1323.185403680	661.334	980.034	0.8413	-57.12	15.17	1322.3441	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
26	Spectrogram 1	1	1324.286343418	1325.064563518	605.247	1043.447	0.7782	-51.55	19.88	1324.2863	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
27	Spectrogram 1	1	1326.194265080	1326.846287380	609.870	1024.170	0.6520	-50.39	22.27	1326.1943	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
28	Spectrogram 1	1	1327.899585914	1328.698839014	786.238	1096.938	0.7993	-59.95	16.52	1327.8996	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
29	Spectrogram 1	1	1329.921035257	1330.762354357	736.526	1007.426	0.8413	-54.05	21.96	1329.9210	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
30	Spectrogram 1	1	1333.787389459	1334.670774359	23.900	255.000	0.8834	-54.50	12.99	1333.7874	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
31	Spectrogram 1	1	1336.332379459	1337.110599559	47.800	247.000	0.7782	-55.44	13.03	1336.3324	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
32	Spectrogram 1	1	1338.667039759	1339.655589559	39.800	239.000	0.9885	-54.28	12.90	1338.6670	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
33	Spectrogram 1	1	1341.212029759	1342.200579659	31.900	247.000	0.9885	-53.69	13.44	1341.2120	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
34	Spectrogram 1	1	1343.669673559	1344.574091559	31.900	207.200	0.9044	-55.61	12.64	1343.6697	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
35	Spectrogram 1	1	1348.339000000	1348.571349352	0.000	8000.000	0.2323	-32.53	18.42	1348.3390	S00974_20190805_124414.wav	S00974_20190805_124414.wav	Phaser
36	Spectrogram 1	1	1351.380664249	1353.408440415	0.000	8000.000	2.0278	-32.63	18.52	1351.3807	S00974_20190805_124414.wav	S00974_20190805_124414.wav	Upsweep
37	Spectrogram 1	1	1355.372848576	1357.514320689	0.000	8000.000	2.1415	-32.62	17.43	1355.3728	S00974_20190805_124414.wav	S00974_20190805_124414.wav	Downsweep
38	Spectrogram 1	1	1360.400043659	1362.470065159	0.000	8000.000	2.0700	-32.64	17.14	1360.4000	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
39	Spectrogram 1	1	1364.352874169	1366.465141009	0.000	8000.000	2.1123	-32.64	16.56	1364.3529	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
40	Spectrogram 1	1	1369.358946579	1371.450090749	0.000	8000.000	2.0911	-32.63	17.28	1369.3589	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
41	Spectrogram 1	1	1373.393376239	1375.505643079	0.000	8000.000	2.1123	-32.65	16.24	1373.3934	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
42	Spectrogram 1	1	1377.396121899	1377.649593919	0.000	8000.000	0.2535	-32.73	17.67	1377.3961	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
43	Spectrogram 1	1	1386.725218779	1391.213901599	580.000	1080.800	4.4887	-49.72	18.57	1386.7252	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
44	Spectrogram 1	1	1402.121931729	1403.657338949	143.400	470.100	1.5354	-59.89	12.10	1402.1219	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
45	Spectrogram 1	1	1404.682701289	1405.713317089	159.300	709.100	1.0306	-54.25	13.00	1404.6827	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
46	Spectrogram 1	1	1391.258519279	1398.055279029	580.000	1526.500	6.7968	-54.90	15.28	1391.2585	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
47	Spectrogram 1	1	1406.957806709	1407.731179809	326.700	756.900	0.7734	-51.26	17.99	1406.9578	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
48	Spectrogram 1	1	1409.084582729	1410.066171669	294.800	669.300	0.9816	-52.45	15.42	1409.0846	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
49	Spectrogram 1	1	1411.612917869	1412.430908649	318.700	693.200	0.8180	-55.35	15.55	1411.6129	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
50	Spectrogram 1	1	1414.128821669	1414.931939889	278.900	605.500	0.8031	-55.75	14.85	1414.1288	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
51	Spectrogram 1	1	1416.924862879	1417.787471339	294.800	701.100	0.8626	-51.37	17.09	1416.9249	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
52	Spectrogram 1	1	1419.728773909	1420.844215879	255.000	669.300	1.1154	-55.42	14.17	1419.7288	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
53	Spectrogram 1	1	1422.792521189	1424.116178999	159.300	390.400	1.3237	-58.56	11.37	1422.7925	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
54	Spectrogram 1	1	1426.344782179	1427.683312549	127.500	398.400	1.3385	-59.84	12.36	1426.3448	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
55	Spectrogram 1	1	1429.861002369	1431.407748569	127.500	398.400	1.5467	-60.61	11.57	1429.8610	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
56	Spectrogram 1	1	1453.672321659	1460.865599259	589.600	1381.600	7.1933	-57.74	11.85	1453.6723	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
57	Spectrogram 1	1	1461.033863059	1465.703183659	748.900	1593.500	4.6693	-54.39	15.79	1461.0339	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
58	Spectrogram 1	1	1466.090441759	1469.098157259	358.500	900.300	3.0077	-57.86	11.73	1466.0904	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
59	Spectrogram 1	1	1471.813084680	1472.654403680	661.334	980.034	0.8413	-56.59	16.42	1471.8131	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
60	Spectrogram 1	1	1473.755343418	1474.533563518	605.247	1043.447	0.7782	-51.61	18.92	1473.7553	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
61	Spectrogram 1	1	1475.663265080	1476.315287380	609.870	1024.170	0.6520	-50.54	22.23	1475.6633	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
62	Spectrogram 1	1	1477.368585914	1478.167839014	786.238	1096.938	0.7993	-59.36	17.23	1477.3686	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
63	Spectrogram 1	1	1479.390035257	1480.231354357	736.526	1007.426	0.8413	-53.84	20.50	1479.3900	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
64	Spectrogram 1	1	1483.256389459	1484.139774359	23.900	255.000	0.8834	-54.43	12.51	1483.2564	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
65	Spectrogram 1	1	1485.801379459	1486.579599559	47.800	247.000	0.7782	-55.39	12.83	1485.8014	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
66	Spectrogram 1	1	1488.136039759	1489.124589559	39.800	239.000	0.9885	-54.53	12.40	1488.1360	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
67	Spectrogram 1	1	1490.681029759	1491.669579659	31.900	247.000	0.9885	-53.81	12.91	1490.6810	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
68	Spectrogram 1	1	1493.138673559	1494.043091559	31.900	207.200	0.9044	-55.42	12.42	1493.1387	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
69	Spectrogram 1	1	1497.770000000	1498.002349352	0.000	8000.000	0.2323	-32.79	18.11	1497.7700	S00974_20190805_124414.wav	S00974_20190805_124414.wav	Phaser
70	Spectrogram 1	1	1500.811664249	1502.839440415	0.000	8000.000	2.0278	-32.61	17.70	1500.8117	S00974_20190805_124414.wav	S00974_20190805_124414.wav	Upsweep
71	Spectrogram 1	1	1504.803848576	1506.945320689	0.000	8000.000	2.1415	-32.60	17.01	1504.8038	S00974_20190805_124414.wav	S00974_20190805_124414.wav	Downsweep
72	Spectrogram 1	1	1509.831043659	1511.901065159	0.000	8000.000	2.0700	-32.61	17.72	1509.8310	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
73	Spectrogram 1	1	1513.783874169	1515.896141009	0.000	8000.000	2.1123	-32.63	17.36	1513.7839	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
74	Spectrogram 1	1	1518.789946579	1520.881090749	0.000	8000.000	2.0911	-32.61	18.12	1518.7899	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
75	Spectrogram 1	1	1522.824376239	1524.936643079	0.000	8000.000	2.1123	-32.59	18.42	1522.8244	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
76	Spectrogram 1	1	1526.827121899	1527.080593919	0.000	8000.000	0.2535	-32.54	18.40	1526.8271	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
77	Spectrogram 1	1	1536.156218779	1540.644901599	580.000	1080.800	4.4887	-49.76	19.12	1536.1562	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
78	Spectrogram 1	1	1551.552931729	1553.088338949	143.400	470.100	1.5354	-59.88	11.41	1551.5529	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
79	Spectrogram 1	1	1554.113701289	1555.144317089	159.300	709.100	1.0306	-54.04	12.49	1554.1137	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
80	Spectrogram 1	1	1540.689519279	1547.486279029	580.000	1526.500	6.7968	-54.71	15.05	1540.6895	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
81	Spectrogram 1	1	1556.388806709	1557.162179809	326.700	756.900	0.7734	-51.36	16.49	1556.3888	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
82	Spectrogram 1	1	1558.515582729	1559.497171669	294.800	669.300	0.9816	-51.75	15.42	1558.5156	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
83	Spectrogram 1	1	1561.043917869	1561.861908649	318.700	693.200	0.8180	-55.19	15.89	1561.0439	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
84	Spectrogram 1	1	1563.559821669	1564.362939889	278.900	605.500	0.8031	-55.66	14.80	1563.5598	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
85	Spectrogram 1	1	1566.355862879	1567.218471339	294.800	701.100	0.8626	-51.44	16.49	1566.3559	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
86	Spectrogram 1	1	1569.159773909	1570.275215879	255.000	669.300	1.1154	-55.56	13.90	1569.1598	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
87	Spectrogram 1	1	1572.223521189	1573.547178999	159.300	390.400	1.3237	-58.36	12.64	1572.2235	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
88	Spectrogram 1	1	1575.775782179	1577.114312549	127.500	398.400	1.3385	-59.84	11.96	1575.7758	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
89	Spectrogram 1	1	1579.292002369	1580.838748569	127.500	398.400	1.5467	-60.35	11.59	1579.2920	S00974_20190805_124414.wav	S00974_20190805_124414.wav	
