Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	End File	Begin File	Sound Type					
1	Spectrogram 1	1	2338.292	2338.524349	0	8000	0.2323	-33.48	19.2	S01143_20190812_160006	S01143_20190812_160006	1_Phaser1		2338.292	2338.524349		2338.292
2	Spectrogram 1	1	2341.333664	2343.36144	0	8000	2.0278	-32.95	19.63	S01143_20190812_160006	S01143_20190812_160006	1_Upsweep1		2341.333664	2343.36144		
3	Spectrogram 1	1	2345.325849	2347.467321	0	8000	2.1415	-32.99	17.16	S01143_20190812_160006	S01143_20190812_160006	1_Downsweep1		2345.325849	2347.467321		
4	Spectrogram 1	1	2350.353044	2352.423065	0	8000	2.07	-32.96	19.88	S01143_20190812_160006	S01143_20190812_160006	1_Upsweep2		2350.353044	2352.423065		
5	Spectrogram 1	1	2354.305874	2356.418141	0	8000	2.1123	-33.07	16.64	S01143_20190812_160006	S01143_20190812_160006	1_Downsweep2		2354.305874	2356.418141		
6	Spectrogram 1	1	2359.311947	2361.403091	0	8000	2.0911	-32.98	19.34	S01143_20190812_160006	S01143_20190812_160006	1_Upsweep3		2359.311947	2361.403091		
7	Spectrogram 1	1	2363.346376	2365.458643	0	8000	2.1123	-33.04	16.88	S01143_20190812_160006	S01143_20190812_160006	1_Downsweep3		2363.346376	2365.458643		
8	Spectrogram 1	1	2367.349122	2367.602594	0	8000	0.2535	-33.36	16.86	S01143_20190812_160006	S01143_20190812_160006	1_Phaser2		2367.349122	2367.602594		
9	Spectrogram 1	1	2376.678219	2381.166902	580	1080.8	4.4887	-49.29	23.27	S01143_20190812_160006	S01143_20190812_160006	1_Hfunstart		2376.678219	2381.166902		
10	Spectrogram 1	1	2392.074932	2393.610339	143.4	470.1	1.5354	-55.19	13.52	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_start		2392.074932	2393.610339		
11	Spectrogram 1	1	2394.635701	2395.666317	159.3	709.1	1.0306	-50.01	14.12	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_P1		2394.635701	2395.666317		
12	Spectrogram 1	1	2381.211519	2388.008279	580	1526.5	6.7968	-50.09	19.24	S01143_20190812_160006	S01143_20190812_160006	1_Hfuntrill		2381.211519	2388.008279		
13	Spectrogram 1	1	2396.910807	2397.68418	326.7	756.9	0.7734	-48.26	20.59	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_P2		2396.910807	2397.68418		
14	Spectrogram 1	1	2399.037583	2400.019172	294.8	669.3	0.9816	-45.82	22.37	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_P3		2399.037583	2400.019172		
15	Spectrogram 1	1	2401.565918	2402.383909	318.7	693.2	0.818	-49.92	19.91	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_P4		2401.565918	2402.383909		
16	Spectrogram 1	1	2404.081822	2404.88494	278.9	605.5	0.8031	-51.24	17.36	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_P5		2404.081822	2404.88494		
17	Spectrogram 1	1	2406.877863	2407.740471	294.8	701.1	0.8626	-47.72	21.47	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_P6		2406.877863	2407.740471		
18	Spectrogram 1	1	2409.681774	2410.797216	255	669.3	1.1154	-50.86	19.18	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_P7		2409.681774	2410.797216		
19	Spectrogram 1	1	2412.745521	2414.069179	159.3	390.4	1.3237	-53.58	13.89	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_P8		2412.745521	2414.069179		
20	Spectrogram 1	1	2416.297782	2417.636313	127.5	398.4	1.3385	-53.13	14.03	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_P9		2416.297782	2417.636313		
21	Spectrogram 1	1	2419.814002	2421.360749	127.5	398.4	1.5467	-53.09	14.54	S01143_20190812_160006	S01143_20190812_160006	1_Pmor_P10		2419.814002	2421.360749		
22	Spectrogram 1	1	2443.625322	2450.818599	589.6	1381.6	7.1933	-54.69	12.86	S01143_20190812_160006	S01143_20190812_160006	1_Halb_start		2443.625322	2450.818599		
23	Spectrogram 1	1	2450.986863	2455.656184	748.9	1593.5	4.6693	-47.78	20.76	S01143_20190812_160006	S01143_20190812_160006	1_Halb_peak		2450.986863	2455.656184		
24	Spectrogram 1	1	2456.043442	2459.051157	358.5	900.3	3.0077	-56.65	11.71	S01143_20190812_160006	S01143_20190812_160006	1_Halb_end		2456.043442	2459.051157		
25	Spectrogram 1	1	2461.766085	2462.607404	661.334	980.034	0.8413	-52.77	19.07	S01143_20190812_160006	S01143_20190812_160006	1_Pwur_P1		2461.766085	2462.607404		
26	Spectrogram 1	1	2463.708343	2464.486564	605.247	1043.447	0.7782	-47.14	24.83	S01143_20190812_160006	S01143_20190812_160006	1_Pwur_P2		2463.708343	2464.486564		
27	Spectrogram 1	1	2465.616265	2466.268287	609.87	1024.17	0.652	-47.54	24.62	S01143_20190812_160006	S01143_20190812_160006	1_Pwur_P3		2465.616265	2466.268287		
28	Spectrogram 1	1	2467.321586	2468.120839	786.238	1096.938	0.7993	-57.65	18.98	S01143_20190812_160006	S01143_20190812_160006	1_Pwur_P4		2467.321586	2468.120839		
29	Spectrogram 1	1	2469.343035	2470.184354	736.526	1007.426	0.8413	-50.39	26.37	S01143_20190812_160006	S01143_20190812_160006	1_Pwur_P5		2469.343035	2470.184354		
30	Spectrogram 1	1	2473.20939	2474.092774	23.9	255	0.8834	-39.41	17.45	S01143_20190812_160006	S01143_20190812_160006	1_Pwur_S1		2473.20939	2474.092774		
31	Spectrogram 1	1	2475.75438	2476.5326	47.8	247	0.7782	-40.1	20.79	S01143_20190812_160006	S01143_20190812_160006	1_Pwur_S2		2475.75438	2476.5326		
32	Spectrogram 1	1	2478.08904	2479.07759	39.8	239	0.9885	-38.44	20.01	S01143_20190812_160006	S01143_20190812_160006	1_Pwur_S3		2478.08904	2479.07759		
33	Spectrogram 1	1	2480.63403	2481.62258	31.9	247	0.9885	-38.19	20.19	S01143_20190812_160006	S01143_20190812_160006	1_Pwur_S4		2480.63403	2481.62258		
34	Spectrogram 1	1	2483.091674	2483.996092	31.9	207.2	0.9044	-40.87	18.13	S01143_20190812_160006	S01143_20190812_160006	1_Pwur_S5		2483.091674	2483.996092		
