Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
1	Spectrogram 1	1	292.43	292.6623494	0	8000	0.2323	-33.48	19.2	292.43	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Phaser1
2	Spectrogram 1	1	295.4716642	297.4994404	0	8000	2.0278	-32.95	19.63	295.4717	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Upsweep1
3	Spectrogram 1	1	299.4638486	301.6053207	0	8000	2.1415	-32.99	17.16	299.4638	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Downsweep1
4	Spectrogram 1	1	304.4910437	306.5610652	0	8000	2.07	-32.96	19.88	304.491	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Upsweep2
5	Spectrogram 1	1	308.4438742	310.556141	0	8000	2.1123	-33.07	16.64	308.4439	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Downsweep2
6	Spectrogram 1	1	313.4499466	315.5410907	0	8000	2.0911	-32.98	19.34	313.4499	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Upsweep3
7	Spectrogram 1	1	317.4843762	319.5966431	0	8000	2.1123	-33.04	16.88	317.4844	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Downsweep3
8	Spectrogram 1	1	321.4871219	321.7405939	0	8000	0.2535	-33.36	16.86	321.4871	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Phaser2
9	Spectrogram 1	1	330.8162188	335.3049016	580	1080.8	4.4887	-49.29	23.27	330.8162	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Hfunstart
10	Spectrogram 1	1	346.2129317	347.7483389	143.4	470.1	1.5354	-55.19	13.52	346.2129	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_start
11	Spectrogram 1	1	348.7737013	349.8043171	159.3	709.1	1.0306	-50.01	14.12	348.7737	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_P1
12	Spectrogram 1	1	335.3495193	342.146279	580	1526.5	6.7968	-50.09	19.24	335.3495	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Hfuntrill
13	Spectrogram 1	1	351.0488067	351.8221798	326.7	756.9	0.7734	-48.26	20.59	351.0488	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_P2
14	Spectrogram 1	1	353.1755827	354.1571717	294.8	669.3	0.9816	-45.82	22.37	353.1756	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_P3
15	Spectrogram 1	1	355.7039179	356.5219086	318.7	693.2	0.818	-49.92	19.91	355.7039	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_P4
16	Spectrogram 1	1	358.2198217	359.0229399	278.9	605.5	0.8031	-51.24	17.36	358.2198	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_P5
17	Spectrogram 1	1	361.0158629	361.8784713	294.8	701.1	0.8626	-47.72	21.47	361.0159	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_P6
18	Spectrogram 1	1	363.8197739	364.9352159	255	669.3	1.1154	-50.86	19.18	363.8198	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_P7
19	Spectrogram 1	1	366.8835212	368.207179	159.3	390.4	1.3237	-53.58	13.89	366.8835	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_P8
20	Spectrogram 1	1	370.4357822	371.7743125	127.5	398.4	1.3385	-53.13	14.03	370.4358	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_P9
21	Spectrogram 1	1	373.9520024	375.4987486	127.5	398.4	1.5467	-53.09	14.54	373.952	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Pmor_P10
22	Spectrogram 1	1	397.7633217	404.9565993	589.6	1381.6	7.1933	-54.69	12.86	397.7633	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Halbstart
23	Spectrogram 1	1	405.1248631	409.7941837	748.9	1593.5	4.6693	-47.78	20.76	405.1249	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Halbpeak
24	Spectrogram 1	1	410.1814418	413.1891573	358.5	900.3	3.0077	-56.65	11.71	410.1814	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_Halbend
25	Spectrogram 1	1	415.9040847	416.7454037	661.334	980.034	0.8413	-52.77	19.07	415.9041	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_PwurP_P1
26	Spectrogram 1	1	417.8463434	418.6245635	605.247	1043.447	0.7782	-47.14	24.83	417.8463	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_PwurP_P2
27	Spectrogram 1	1	419.7542651	420.4062874	609.87	1024.17	0.652	-47.54	24.62	419.7543	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_PwurP_P3
28	Spectrogram 1	1	421.4595859	422.258839	786.238	1096.938	0.7993	-57.65	18.98	421.4596	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_PwurP_P4
29	Spectrogram 1	1	423.4810353	424.3223544	736.526	1007.426	0.8413	-50.39	26.37	423.481	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_PwurP_P5
30	Spectrogram 1	1	427.3473895	428.2307744	23.9	255	0.8834	-39.41	17.45	427.3474	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_PwurS_S1
31	Spectrogram 1	1	429.8923795	430.6705996	47.8	247	0.7782	-40.1	20.79	429.8924	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_PwurS_S2
32	Spectrogram 1	1	432.2270398	433.2155896	39.8	239	0.9885	-38.44	20.01	432.227	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_PwurS_S3
33	Spectrogram 1	1	434.7720298	435.7605797	31.9	247	0.9885	-38.19	20.19	434.772	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_PwurS_S4
34	Spectrogram 1	1	437.2296736	438.1340916	31.9	207.2	0.9044	-40.87	18.13	437.2297	S00974_20190811_101922.wav	S00974_20190811_101922.wav	1_PwurS_S5
35	Spectrogram 1	1	441.899	442.1313494	0	8000	0.2323	-33.31	18.93	441.899	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Phaser1
36	Spectrogram 1	1	444.9406642	446.9684404	0	8000	2.0278	-32.95	19.29	444.9407	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Upsweep1
37	Spectrogram 1	1	448.9328486	451.0743207	0	8000	2.1415	-33.01	16.66	448.9328	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Downsweep1
38	Spectrogram 1	1	453.9600437	456.0300652	0	8000	2.07	-32.94	19.6	453.96	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Upsweep2
39	Spectrogram 1	1	457.9128742	460.025141	0	8000	2.1123	-33.04	16.53	457.9129	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Downsweep2
40	Spectrogram 1	1	462.9189466	465.0100907	0	8000	2.0911	-32.98	19.25	462.9189	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Upsweep3
41	Spectrogram 1	1	466.9533762	469.0656431	0	8000	2.1123	-33	16.94	466.9534	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Downsweep3
42	Spectrogram 1	1	470.9561219	471.2095939	0	8000	0.2535	-33.22	19.63	470.9561	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Phaser2
43	Spectrogram 1	1	480.2852188	484.7739016	580	1080.8	4.4887	-48.75	22.9	480.2852	S00974_20190811_101922.wav	S00974_20190811_101922.wav	2_Hfunstart
