recorder,time.cat
1,morning
13,afternoon
14,afternoon
15,predusk
16,dusk
17,night
18,night
21,night
22,night
23,night
24,night
25,night
26,night
27,night
28,night
29,predawn
32,dawn
33,morning
34,morning
42,afternoon
43,afternoon
45,afternoon
46,predusk
49,dusk
50,night
51,night
52,night
53,night
54,night
55,night
56,night
57,night
58,night
59,night
60,predawn
61,dawn
62,morning
63,morning
64,morning
65,morning
68,afternoon
73,afternoon
74,predusk
79,morning
80,morning
84,morning
85,midday
87,afternoon
88,afternoon
91,dusk
92,night
93,night
94,night
95,night
96,night
97,night
98,night
99,night
100,night
101,night
102,predawn
103,dawn
104,morning
105,morning
106,morning
110,afternoon
111,afternoon
112,afternoon
char1,predusk
char2,predusk
char3,predusk
